SITE_SOURCE_ID;SITE_NAME;WEB_IMAGES;IMAGE_COUNT;SOURCE_PDFS
drive-5a17be769924;Gua Pulau Muna;;0;Warisan Budaya Maritim Nusantara by Supratikno Rahardjo, Nies Anggraeni, Titi Surti Nastiti, Wiwin Djuwita Ramelan (z-lib.org).pdf
drive-cc7aa1fa2b11;Gua Rainoni;/iiif/manifests/sites/drive-cc7aa1fa2b11.json;2;Maluku_Babar_Wetang.pdf
drive-bbdf99316df3;Gua Rainoni C Deposit;;0;Maluku_Babar_Wetang.pdf
drive-89b29ffe3725;Gua Roipikka C Large;;0;Maluku_Babar_Wetang.pdf
drive-e8da26dd345d;Gua Sahak. Itu;/iiif/manifests/sites/drive-e8da26dd345d.json;3;Borneo_Menyingkap_gua_prasejarah.pdf
drive-177645012a7e;Gua Sambangoala Sulawesi Radiocarbon D-AMS;;0;2020KaharudinetalIndoCaves.pdf | ListCavesRockshelters.pdf
drive-de1e1106f78b;Gua Sampeang Gua Sampeang;/iiif/manifests/sites/drive-de1e1106f78b.json;3;document (2).pdf
drive-8cd62defa61b;Gua Sedahan. T;;0;Warisan Budaya Maritim Nusantara by Supratikno Rahardjo, Nies Anggraeni, Titi Surti Nastiti, Wiwin Djuwita Ramelan (z-lib.org).pdf
drive-0277e3896672;Gua Siti Nafisah. A;/iiif/manifests/sites/drive-0277e3896672.json;2;spiceislands.pdf
drive-38c179e51a3d;Gua Sugi Patani;;0;StencilsBoatsMunaIsland.pdf | archaeologysulawesi.pdf
drive-d11de2e73c63;Gua Tabuhan Java U-Series;;0;2020KaharudinetalIndoCaves.pdf | ListCavesRockshelters.pdf
drive-908ad29c3d38;Gua Talimbue Sulawesi Radiocarbon D-AMS;;0;2020KaharudinetalIndoCaves.pdf | ListCavesRockshelters.pdf
drive-6c4b2a1800bc;Gua Tamilou Kecamatan Amahai;;0;594-Article Text-1601-1-10-20220304.pdf | SeramEarliestSettlements.pdf
drive-2c5874df15cb;Gua Tamrin Gua Tewet Liang Jon;;0;Borneo_Menyingkap_gua_prasejarah.pdf
drive-eeb0a938acb4;Gua Tamrin Ini;/iiif/manifests/sites/drive-eeb0a938acb4.json;3;Borneo_Menyingkap_gua_prasejarah.pdf
drive-01257a494796;Gua Tamrin. Kaya;/iiif/manifests/sites/drive-01257a494796.json;3;Borneo_Menyingkap_gua_prasejarah.pdf
drive-a7e3d05e538b;Gua Tanah Lihat;/iiif/manifests/sites/drive-a7e3d05e538b.json;3;Borneo_Menyingkap_gua_prasejarah.pdf
drive-f9b1d857451c;Gua Tangkorak;;0;EKalimantan_CavesMesolithicBurials.pdf
drive-7d907d290e44;Gua Tanjung Pinang;;0;NorthMaluku_PleistoceneHolocene_Caves.pdf
drive-2bb3296aaea1;Gua Tengkorak Sulawesi Radiocarbon D-AMS;;0;2020KaharudinetalIndoCaves.pdf | ListCavesRockshelters.pdf
drive-cef7da269d50;Gua Tengkorakdari;/iiif/manifests/sites/drive-cef7da269d50.json;3;Borneo_Menyingkap_gua_prasejarah.pdf
drive-576eba169e94;Gua Tewet I;/iiif/manifests/sites/drive-576eba169e94.json;3;Borneo_Menyingkap_gua_prasejarah.pdf
drive-90d0b8601110;Gua Tewet. GUA TEWET;/iiif/manifests/sites/drive-90d0b8601110.json;1;Borneo_Menyingkap_gua_prasejarah.pdf
drive-d4414c288cdb;Gua Tewet. Hanya;/iiif/manifests/sites/drive-d4414c288cdb.json;3;Borneo_Menyingkap_gua_prasejarah.pdf
drive-48f8d8d8d62e;Gua Tewet. Se;/iiif/manifests/sites/drive-48f8d8d8d62e.json;2;Borneo_Menyingkap_gua_prasejarah.pdf
drive-ad45682af6b9;Gua Tewet. Sebuah;/iiif/manifests/sites/drive-ad45682af6b9.json;3;Borneo_Menyingkap_gua_prasejarah.pdf
drive-932ac31173df;Gua Tewet. Sungai Bengalon;/iiif/manifests/sites/drive-932ac31173df.json;3;Borneo_Menyingkap_gua_prasejarah.pdf
drive-369f7929ba5a;Gua Tewet. Tatanan;/iiif/manifests/sites/drive-369f7929ba5a.json;2;Borneo_Menyingkap_gua_prasejarah.pdf
drive-73ee9e4ce170;Gua Tin;/iiif/manifests/sites/drive-73ee9e4ce170.json;3;Borneo_Menyingkap_gua_prasejarah.pdf
drive-f54ceb5cd6a4;Gua Togi Ndrawa;/iiif/manifests/sites/drive-f54ceb5cd6a4.json;1;Hoabinh.pdf | Hoabinhian_Sumatra.pdf
drive-76417dab132b;Gua Togi Ndrawa Nias Radiocarbon;;0;2020KaharudinetalIndoCaves.pdf | ListCavesRockshelters.pdf
drive-1cb21d70c589;Gua Toroan;;0;2020KaharudinetalIndoCaves.pdf | ListCavesRockshelters.pdf
drive-a8ec44bec225;Gua Toroan Madura Radiocarbon;;0;2020KaharudinetalIndoCaves.pdf | ListCavesRockshelters.pdf
drive-e711b9ae004f;Gua Tubaki;;0;WajakMan.pdf
drive-b2eeb930ca71;Gua Waidoba;;0;NorthMaluku_PleistoceneHolocene_Caves.pdf
drive-699e248aafb2;Gua Y;;0;
drive-a318e4b4a81a;Ham Cave;;0;
drive-297afc48ca1a;Harimau Caves;/iiif/manifests/sites/drive-297afc48ca1a.json;3;NeolithicMigrationIndonesia.pdf | Terminal Pleistoceneand Holocene Population Historyof Java_SongKeplek.pdf
drive-95944d8456be;Here Sorot Entapa Caves;;0;Indonesian_megaliths_as_the_result_of_th.pdf
drive-ad024ff446a2;Homestead Cave;;0;Oldest_human_occupation_of_Wallacea_at_Laili_Cave_.pdf | Zooarchaeology_HumanremainsWallacea.pdf
drive-90ef310ad30f;Jabrud Shelter;/iiif/manifests/sites/drive-90ef310ad30f.json;1;Encyclopedia of Human Evolution and Prehistory (Eric Delson, Ian Tattersall, John Van Couvering etc.) (z-lib.org).pdf
drive-815139e12418;Kailean Cave;/iiif/manifests/sites/drive-815139e12418.json;3;KaimearRockArt_Kei.pdf
drive-a663bc86ec89;Kidang Cave;/iiif/manifests/sites/drive-a663bc86ec89.json;2;125988184.pdf
