SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS
IPAD_315;Gua Kajuara;Maros-Pangkep | South Sulawesi;;4326;119.596389;-4.836667;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Description: karst hill with lowland forest, in front of open field and marshland area with nipa, near spring and river | Alternative_Name: Leang Kajuara
IPAD_316;Leang Kassi;Maros-Pangkep | South Sulawesi;;4326;119.594167;-4.836111;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Besides the hand stencils, there are also images of human figures located on the right front wall of its shallow cave - which is a part of the cave - as well as stone tools fragments and molluscan shells that were discovered on the cave floor. The hand stencils that were discovered consisted of 9 images, which were spread both in Chamber A and B. | Alternative_Name: Leang Kassi
IPAD_317;Gua Lambuto;Maros-Pangkep | South Sulawesi;;4326;119.588333;-4.834167;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Alternative_Name: Leang Lambuto
IPAD_318;Gua Lamperajang;Maros-Pangkep | South Sulawesi;;4326;119.598333;-4.856667;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Alternative_Name: Leang Lamperajang
IPAD_319;Gua Lesang;Maros-Pangkep | South Sulawesi;;4326;119.5825;-4.830556;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Description: karst hill with lowland forest, in front of open field and marshland area with nipa, with spring at its feet. | Alternative_Name: Leang Lesang
IPAD_320;Gua Limbubuka;Maros-Pangkep | South Sulawesi;;4326;119.582222;-4.830556;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Alternative_Name: Leang Limbubuka
IPAD_321;Leang Lompoa;Maros-Pangkep | South Sulawesi;;4326;119.593056;-4.835556;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;This site has three chambers inside, namely Chamber A, which is 4.5 meters long, 15 meters wide, and 15 meters high; Chamber B with the dimension of 8 meters length, 6.5 meters width, and 13 meters height; and Chamber C which is 10 meters long, 14 meters wide, and 10 meters high. The rock art found in this cave was only one hand stencil located on the rear wall of Chamber B.
IPAD_322;Leang Pattenungan;Maros-Pangkep | South Sulawesi;;4326;119.596667;-4.836944;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Many hand stencils and foot stencils, stone tools fragments and molluscan shells were discovered on the cave floor. The hand stencil images that were identifiable consisted of 19 images that are located in Chamber A, while the remaining images have deteriorated.
IPAD_323;Leang Sakapao;Maros-Pangkep | South Sulawesi;;4326;119.602222;-4.834167;;No;Documented;Not specified;-36867;-33906;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;The Leang Sakapao has only one chamber (Chamber A) measuring 27.5 meters in length, 9.5 meters in width, and 3 meters in height. The rock art images consisted of hand stencils and images of boars and anoas. However, based on earlier reports, no stone tool fragments or molluscan shells were found in this site. Meanwhile, 24 hand stencil images were identified in Chamber A that were located on the center right wall and on the rear part of the ceiling, whereas the images of a boar and an anoa were drawn on the right wall.
IPAD_324;Gua Sapiria;Maros-Pangkep | South Sulawesi;;4326;119.597222;-4.849722;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Alternative_Name: Leang Sapiria
IPAD_325;Leang Sassang;Maros-Pangkep | South Sulawesi;;4326;119.595;-4.846667;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Hand stencil images, stone tools fragments and molluscan shells were also discovered in this site. However, only 15 hand stencil images were identifiable from the deteriorated images that were spread out in Chamber A and Chamber C of this cave.
IPAD_326;Gua Tanarajae;Maros-Pangkep | South Sulawesi;;4326;119.596667;-4.8375;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Alternative_Name: Leang Tanarajae
IPAD_327;Gua Tinggia;Maros-Pangkep | South Sulawesi;;4326;119.586667;-4.83;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Alternative_Name: Leang Tinggia
IPAD_328;Gua Tuka;Maros-Pangkep | South Sulawesi;;4326;119.5825;-4.8275;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Alternative_Name: Leang Tuka
IPAD_329;Gua Ujung;Maros-Pangkep | South Sulawesi;;4326;119.595278;-4.843333;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Alternative_Name: Leang Ujung
IPAD_330;Gua Ulu Tedong;Maros-Pangkep | South Sulawesi;;4326;119.605556;-4.861667;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Alternative_Name: Leang Ulu Tedong
