IDArkeoGIS;CARAC_NAME;CARAC_LVL1;CARAC_LVL2;CARAC_LVL3;CARAC_LVL4;IdArk;IdPactols;IdAat
462;Production;Pierre;Atelier;Architecture;Calcaire;http://ark.frantiq.fr/ark:/26678/pcrtc1Ueky7Zpg;13704;http://vocab.getty.edu/page/aat/300011286
463;Production;Pierre;Atelier;Architecture;Basalte;http://ark.frantiq.fr/ark:/26678/pcrtctuE9VNJOc;13541;http://vocab.getty.edu/page/aat/300011222
464;Production;Pierre;Atelier;Architecture;Rhyolite;http://ark.frantiq.fr/ark:/26678/pcrtXVZBob53by;27632;http://vocab.getty.edu/page/aat/300011211
465;Production;Pierre;Atelier;Architecture;Silex;http://ark.frantiq.fr/ark:/26678/pcrtIzSUofuocv;16943;http://vocab.getty.edu/page/aat/300011143
466;Production;Pierre;Atelier;Architecture;Autres;;;
467;Production;Pierre;Atelier;Outils;;https://ark.frantiq.fr/ark:/26678/pcrtxs8Kml8jLw;16050;http://vocab.getty.edu/page/aat/300024841
468;Production;Pierre;Atelier;Outils;Grès;http://ark.frantiq.fr/ark:/26678/pcrtR1s94Zuaul;14936;http://vocab.getty.edu/page/aat/300011376
469;Production;Pierre;Atelier;Outils;Calcaire;http://ark.frantiq.fr/ark:/26678/pcrtc1Ueky7Zpg;13704;http://vocab.getty.edu/page/aat/300011286
470;Production;Pierre;Atelier;Outils;Basalte;http://ark.frantiq.fr/ark:/26678/pcrtctuE9VNJOc;13541;http://vocab.getty.edu/page/aat/300011222
471;Production;Pierre;Atelier;Outils;Rhyolite;http://ark.frantiq.fr/ark:/26678/pcrtXVZBob53by;27632;http://vocab.getty.edu/page/aat/300011211
472;Production;Pierre;Atelier;Outils;Silex;http://ark.frantiq.fr/ark:/26678/pcrtIzSUofuocv;16943;http://vocab.getty.edu/page/aat/300011143
473;Production;Pierre;Atelier;Outils;Autres;;;
474;Production;Pierre;Extraction;;;https://ark.frantiq.fr/ark:/26678/pcrtXk6sdvTjnE;13755;http://vocab.getty.edu/page/aat/300000402
