filename,pdf_path,pages,text_chars,ocr_confidence,date_processed
"Emergence and Diversity of Modern Human Behavior in Paleolithic Asia (Yousuke Kaifu, Masami Izuho, Ted Goebel etc.) (z-lib.org)","data/google-drive-pdfs/Emergence and Diversity of Modern Human Behavior in Paleolithic Asia (Yousuke Kaifu, Masami Izuho, Ted Goebel etc.) (z-lib.org).pdf",604,2076855,0.00,2026-03-25T20:17:49.605730
"Encyclopedia of Human Evolution and Prehistory (Eric Delson, Ian Tattersall, John Van Couvering etc.) (z-lib.org)","data/google-drive-pdfs/Encyclopedia of Human Evolution and Prehistory (Eric Delson, Ian Tattersall, John Van Couvering etc.) (z-lib.org).pdf",1656,3569340,0.00,2026-03-25T20:17:49.618967
Ende_Flores_StoneBurial,/Users/cataivancov/IdeaProjects/arke-platform/data/google-drive-pdfs/Ende_Flores_StoneBurial.pdf,6,17271,85.45,2026-03-25T20:17:49.619350
Enrekang_Sul,data/google-drive-pdfs/Enrekang_Sul.pdf,21,45342,0.00,2026-03-25T20:17:49.619722
EurasiaExpansion,data/google-drive-pdfs/EurasiaExpansion.pdf,9,77898,0.00,2026-03-25T20:17:49.620171
FERRIEetal-posterLR,data/google-drive-pdfs/FERRIEetal-posterLR.pdf,2,10183,0.00,2026-03-25T20:17:49.620437
FKIP_PROSIDING_Megalithic culture at the Suco Lor site Bondowoso_NAIM,data/google-drive-pdfs/FKIP_PROSIDING_Megalithic culture at the Suco Lor site Bondowoso_NAIM.pdf,30,75553,0.00,2026-03-25T20:17:49.620839
Fakfak_Papua_Sosoraweru,data/google-drive-pdfs/Fakfak_Papua_Sosoraweru.pdf,12,25942,0.00,2026-03-25T20:17:49.621106
Fertility Rites Majapahit,data/google-drive-pdfs/Fertility Rites Majapahit.pdf,26,86677,0.00,2026-03-25T20:17:49.621572
First Islanders Prehistory and Human Migration in Island Southeast Asia by Peter Bellwood (z-lib.org),data/google-drive-pdfs/First Islanders Prehistory and Human Migration in Island Southeast Asia by Peter Bellwood (z-lib.org).pdf,390,1100543,0.00,2026-03-25T20:17:49.624519
First_Islanders_Human_Origins_Patrimony 2,data/google-drive-pdfs/First_Islanders_Human_Origins_Patrimony 2.pdf,109,135833,0.00,2026-03-25T20:17:49.625172
First_Islanders_Human_Origins_Patrimony,data/google-drive-pdfs/First_Islanders_Human_Origins_Patrimony.pdf,109,135833,0.00,2026-03-25T20:17:49.625756
