candidate_type,dataset,SITE_SOURCE_ID_1,SITE_NAME_1,LONGITUDE_1,LATITUDE_1,SITE_SOURCE_ID_2,SITE_NAME_2,LONGITUDE_2,LATITUDE_2,notes
cross_dataset_same_coords,V3+V4,decc65fc-5554-4ddd-a37c-2188487705f4,Gua Ujung,119.595278,-4.843333,decc65fc-5554-4ddd-a37c-2188487705f4, Gua Ujung                         ,119.595278,-4.843333,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,09026e68-744e-4036-b910-1b42f67113f0,Gua Ulu Tedong,119.605556,-4.861667,09026e68-744e-4036-b910-1b42f67113f0, Gua Ulu Tedong                    ,119.605556,-4.861667,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,947b7a4b-4f18-4c92-a599-bf7c8dfa3777,Bubuka,119.582611,-4.830972,947b7a4b-4f18-4c92-a599-bf7c8dfa3777, Bubuka                            ,119.582611,-4.830972,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,ef451a2f-7bbf-4b44-80eb-533236c9e9d8,Gua Sumpangbita,119.5825,-4.916111,ef451a2f-7bbf-4b44-80eb-533236c9e9d8, Gua Sumpangbita                   ,119.5825,-4.916111,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,ef451a2f-7bbf-4b44-80eb-533236c9e9d8,Gua Sumpangbita,119.5825,-4.916111,93c5f973-0f54-46ec-8288-38267110ae89, Gua Bulu Sumi                     ,119.5825,-4.916111,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,93c5f973-0f54-46ec-8288-38267110ae89,Gua Bulu Sumi,119.5825,-4.916111,ef451a2f-7bbf-4b44-80eb-533236c9e9d8, Gua Sumpangbita                   ,119.5825,-4.916111,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,93c5f973-0f54-46ec-8288-38267110ae89,Gua Bulu Sumi,119.5825,-4.916111,93c5f973-0f54-46ec-8288-38267110ae89, Gua Bulu Sumi                     ,119.5825,-4.916111,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,400fea12-f1f3-4f48-b009-75d052c0f1f0,Gua Bulu Sumi,119.602778,-4.7025,400fea12-f1f3-4f48-b009-75d052c0f1f0, Gua Bulu Sumi                     ,119.602778,-4.7025,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,d73819fd-1d14-471d-ae34-1a86a0d36b62,Gua Garunggung,119.611667,-4.806667,d73819fd-1d14-471d-ae34-1a86a0d36b62, Gua Garunggung                    ,119.611667,-4.806667,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,148d67a3-d261-47df-b02d-85acbf90b71b,Gua Cumi Lantang,119.616111,-4.813333,148d67a3-d261-47df-b02d-85acbf90b71b, Gua Cumi Lantang                  ,119.616111,-4.813333,Same coordinates across datasets
