SITE_SOURCE_ID;SITE_NAME;PDF_FILE;PAGE;IMAGE_NAME;IMAGE_IDENTIFIER;IMAGE_URL;WIDTH;HEIGHT;FORMAT;SCORE;REASONS;MANIFEST_URL
drive-4076cd77a0f6;Gua Kuya;1683-Article Text-6076-1-10-20220825.pdf;5;p005-01-gua-kuya.png;drive-4076cd77a0f6/p005-01-gua-kuya.png;/assets/drive-site-images/drive-4076cd77a0f6/p005-01-gua-kuya.png;586;641;PNG;39;site-name-on-page | locality-context | indonesia-context | figure-photo-context | site-mention-hits | medium-image;/iiif/manifests/sites/drive-4076cd77a0f6.json
drive-4076cd77a0f6;Gua Kuya;1683-Article Text-6076-1-10-20220825.pdf;5;p005-02-gua-kuya.jpg;drive-4076cd77a0f6/p005-02-gua-kuya.jpg;/assets/drive-site-images/drive-4076cd77a0f6/p005-02-gua-kuya.jpg;358;393;JPEG;39;site-name-on-page | locality-context | indonesia-context | figure-photo-context | site-mention-hits | medium-image;/iiif/manifests/sites/drive-4076cd77a0f6.json
drive-4076cd77a0f6;Gua Kuya;1683-Article Text-6076-1-10-20220825.pdf;8;p008-01-gua-kuya.jpg;drive-4076cd77a0f6/p008-01-gua-kuya.jpg;/assets/drive-site-images/drive-4076cd77a0f6/p008-01-gua-kuya.jpg;596;419;JPEG;33;site-name-on-page | figure-photo-context | site-mention-hits | medium-image;/iiif/manifests/sites/drive-4076cd77a0f6.json
drive-4076cd77a0f6;Gua Kuya;1683-Article Text-6076-1-10-20220825.pdf;7;p007-01-gua-kuya.jpg;drive-4076cd77a0f6/p007-01-gua-kuya.jpg;/assets/drive-site-images/drive-4076cd77a0f6/p007-01-gua-kuya.jpg;525;338;JPEG;33;site-name-on-page | figure-photo-context | site-mention-hits | medium-image;/iiif/manifests/sites/drive-4076cd77a0f6.json
drive-4076cd77a0f6;Gua Kuya;1683-Article Text-6076-1-10-20220825.pdf;6;p006-01-gua-kuya.jpg;drive-4076cd77a0f6/p006-01-gua-kuya.jpg;/assets/drive-site-images/drive-4076cd77a0f6/p006-01-gua-kuya.jpg;474;356;JPEG;33;site-name-on-page | figure-photo-context | site-mention-hits | medium-image;/iiif/manifests/sites/drive-4076cd77a0f6.json
drive-4076cd77a0f6;Gua Kuya;1683-Article Text-6076-1-10-20220825.pdf;7;p007-02-gua-kuya.jpg;drive-4076cd77a0f6/p007-02-gua-kuya.jpg;/assets/drive-site-images/drive-4076cd77a0f6/p007-02-gua-kuya.jpg;491;316;JPEG;33;site-name-on-page | figure-photo-context | site-mention-hits | medium-image;/iiif/manifests/sites/drive-4076cd77a0f6.json
drive-573d9192eabd;Gua Lascaux;Butta Toa.pdf;101;p101-01-gua-lascaux.jpg;drive-573d9192eabd/p101-01-gua-lascaux.jpg;/assets/drive-site-images/drive-573d9192eabd/p101-01-gua-lascaux.jpg;475;271;JPEG;35;site-name-on-page | locality-context | indonesia-context | site-mention-hits | medium-image;/iiif/manifests/sites/drive-573d9192eabd.json
drive-573d9192eabd;Gua Lascaux;Borneo_Menyingkap_gua_prasejarah.pdf;91;p091-01-gua-lascaux.jpg;drive-573d9192eabd/p091-01-gua-lascaux.jpg;/assets/drive-site-images/drive-573d9192eabd/p091-01-gua-lascaux.jpg;1450;953;JPEG;34;site-name-on-page | site-mention-hits | large-image;/iiif/manifests/sites/drive-573d9192eabd.json
drive-573d9192eabd;Gua Lascaux;Borneo_Menyingkap_gua_prasejarah.pdf;85;p085-01-gua-lascaux.jpg;drive-573d9192eabd/p085-01-gua-lascaux.jpg;/assets/drive-site-images/drive-573d9192eabd/p085-01-gua-lascaux.jpg;1335;366;JPEG;31;site-name-on-page | site-mention-hits | medium-image;/iiif/manifests/sites/drive-573d9192eabd.json
drive-573d9192eabd;Gua Lascaux;Borneo_Menyingkap_gua_prasejarah.pdf;105;p105-01-gua-lascaux.jpg;drive-573d9192eabd/p105-01-gua-lascaux.jpg;/assets/drive-site-images/drive-573d9192eabd/p105-01-gua-lascaux.jpg;1333;358;JPEG;31;site-name-on-page | site-mention-hits | medium-image;/iiif/manifests/sites/drive-573d9192eabd.json
