IDArkeoGIS;CARAC_NAME;CARAC_LVL1;CARAC_LVL2;CARAC_LVL3;CARAC_LVL4;IdArk;IdPactols;IdAat
451;Production;Stone;;;;http://ark.frantiq.fr/ark:/26678/pcrtSVdwKcS3MI;16689;http://vocab.getty.edu/page/aat/300011692
452;Production;Stone;Workshop;;;https://ark.frantiq.fr/ark:/26678/pcrt9WrayiIQys;13457;http://vocab.getty.edu/page/aat/300053149
453;Production;Stone;Workshop;Millstone;;http://ark.frantiq.fr/ark:/26678/pcrt1Gqf0UzaZ3;15649;http://vocab.getty.edu/page/aat/300185256
454;Production;Stone;Workshop;Millstone;Grès;http://ark.frantiq.fr/ark:/26678/pcrtR1s94Zuaul;14936;http://vocab.getty.edu/page/aat/300011376
455;Production;Stone;Workshop;Millstone;Calcaire;http://ark.frantiq.fr/ark:/26678/pcrtc1Ueky7Zpg;13704;http://vocab.getty.edu/page/aat/300011286
456;Production;Stone;Workshop;Millstone;Basalte;http://ark.frantiq.fr/ark:/26678/pcrtctuE9VNJOc;13541;http://vocab.getty.edu/page/aat/300011222
457;Production;Stone;Workshop;Millstone;Rhyolite;http://ark.frantiq.fr/ark:/26678/pcrtXVZBob53by;27632;http://vocab.getty.edu/page/aat/300011211
458;Production;Stone;Workshop;Millstone;Silex;http://ark.frantiq.fr/ark:/26678/pcrtIzSUofuocv;16943;http://vocab.getty.edu/page/aat/300011143
459;Production;Stone;Workshop;Millstone;Others;;;
460;Production;Stone;Workshop;Architecture;;http://ark.frantiq.fr/ark:/26678/pcrt9WrayiIQys;13457;http://vocab.getty.edu/page/aat/300264383
461;Production;Stone;Workshop;Architecture;Grès;http://ark.frantiq.fr/ark:/26678/pcrtR1s94Zuaul;14936;http://vocab.getty.edu/page/aat/300011376
462;Production;Stone;Workshop;Architecture;Calcaire;http://ark.frantiq.fr/ark:/26678/pcrtc1Ueky7Zpg;13704;http://vocab.getty.edu/page/aat/300011286
463;Production;Stone;Workshop;Architecture;Basalte;http://ark.frantiq.fr/ark:/26678/pcrtctuE9VNJOc;13541;http://vocab.getty.edu/page/aat/300011222
464;Production;Stone;Workshop;Architecture;Rhyolite;http://ark.frantiq.fr/ark:/26678/pcrtXVZBob53by;27632;http://vocab.getty.edu/page/aat/300011211
465;Production;Stone;Workshop;Architecture;Silex;http://ark.frantiq.fr/ark:/26678/pcrtIzSUofuocv;16943;http://vocab.getty.edu/page/aat/300011143
466;Production;Stone;Workshop;Architecture;Others;;;
467;Production;Stone;Workshop;Tools;;https://ark.frantiq.fr/ark:/26678/pcrtxs8Kml8jLw;16050;http://vocab.getty.edu/page/aat/300024841
